frame_index,t_start,t_end,left_events,right_events,processing_seconds
91,1750921984.2320647,1750921984.2440648,238884,240457,0.3949082350009121
92,1750921984.2440648,1750921984.256065,232436,232492,0.3819110059994273
93,1750921984.256065,1750921984.268065,226419,227885,0.375074070005212
94,1750921984.268065,1750921984.280065,233357,238979,0.40827105099742766
95,1750921984.280065,1750921984.2920651,232671,245344,0.39334259000315797
96,1750921984.2920651,1750921984.3040652,223511,241464,0.38369741299538873
97,1750921984.3040652,1750921984.3160653,218209,237249,0.3783563960023457
98,1750921984.3160653,1750921984.3280654,237337,245336,0.3946173389995238
99,1750921984.3280654,1750921984.3400655,253311,254324,0.41862883100111503
100,1750921984.3400655,1750921984.3520656,250740,251284,0.40677585400408134
101,1750921984.3520656,1750921984.3640656,231075,228835,0.3847359020001022
102,1750921984.3640656,1750921984.3760657,227451,231401,0.38729661599791143
103,1750921984.3760657,1750921984.3880658,217518,229319,0.3732000180025352
104,1750921984.3880658,1750921984.400066,226375,245493,0.398276382999029
105,1750921984.400066,1750921984.412066,247622,254053,0.40458156500244513
106,1750921984.412066,1750921984.424066,250898,255038,0.4134255579992896
107,1750921984.424066,1750921984.4360662,240505,249695,0.4132952960062539
108,1750921984.4360662,1750921984.4480662,216816,230766,0.39372785000887234
109,1750921984.4480662,1750921984.4600663,219202,232706,0.4038489669910632
110,1750921984.4600663,1750921984.4720664,233105,248313,0.38627133499539923
111,1750921984.4720664,1750921984.4840665,236605,247347,0.39508160499099176
112,1750921984.4840665,1750921984.4960666,230512,241858,0.3855559959920356
113,1750921984.4960666,1750921984.5080667,229823,238728,0.38149055300164036
114,1750921984.5080667,1750921984.5200667,228020,237131,0.37514310200640466
115,1750921984.5200667,1750921984.5320668,246598,250225,0.3984883700031787
116,1750921984.5320668,1750921984.544067,246904,250469,0.39966154799913056
117,1750921984.544067,1750921984.556067,247396,248737,0.4016702869994333
118,1750921984.556067,1750921984.568067,249465,249739,0.4007997729931958
119,1750921984.568067,1750921984.5800672,246636,247415,0.4091941609949572
120,1750921984.5800672,1750921984.5920672,240707,244865,0.38713686999108177
121,1750921984.5920672,1750921984.6040673,252735,254323,0.4125391249981476
122,1750921984.6040673,1750921984.6160674,253562,255580,0.4262711180053884
123,1750921984.6160674,1750921984.6280675,248919,250958,0.3968659930105787
124,1750921984.6280675,1750921984.6400676,239837,243103,0.3896401020028861
125,1750921984.6400676,1750921984.6520677,250449,253689,0.4095590039942181
126,1750921984.6520677,1750921984.6640677,250442,254899,0.40628441399894655
127,1750921984.6640677,1750921984.6760678,255461,260930,0.4089970820059534
128,1750921984.6760678,1750921984.688068,255186,263039,0.4189800929889316
129,1750921984.688068,1750921984.700068,250536,258212,0.4129496840032516
130,1750921984.700068,1750921984.712068,247501,252829,0.4183577649964718
131,1750921984.712068,1750921984.7240682,247637,250273,0.4096577130112564
132,1750921984.7240682,1750921984.7360682,249043,252181,0.4059853170037968
133,1750921984.7360682,1750921984.7480683,250149,252329,0.40538209899386857
134,1750921984.7480683,1750921984.7600684,253323,254621,0.4229227479954716
135,1750921984.7600684,1750921984.7720685,247049,251638,0.42056124699593056
136,1750921984.7720685,1750921984.7840686,245477,253046,0.4124801169964485
137,1750921984.7840686,1750921984.7960687,241358,252137,0.40486944900476374
138,1750921984.7960687,1750921984.8080688,244746,253414,0.40041118900990114
139,1750921984.8080688,1750921984.8200688,238635,249869,0.3985713639995083
140,1750921984.8200688,1750921984.832069,243923,251371,0.4047669210121967
141,1750921984.832069,1750921984.844069,231869,248346,0.3940287890000036
142,1750921984.844069,1750921984.856069,228123,245954,0.39897484400717076
143,1750921984.856069,1750921984.8680692,228943,243196,0.3996141469979193
144,1750921984.8680692,1750921984.8800693,243336,249752,0.4115051890112227
145,1750921984.8800693,1750921984.8920693,231634,244986,0.3882843409955967
146,1750921984.8920693,1750921984.9040694,243849,253410,0.39762507400882896
147,1750921984.9040694,1750921984.9160695,236730,249111,0.40281192200200167
148,1750921984.9160695,1750921984.9280696,235034,246930,0.3883555799984606
149,1750921984.9280696,1750921984.9400697,225387,243373,0.3756389620102709
150,1750921984.9400697,1750921984.9520698,238629,247956,0.3912883459997829
151,1750921984.9520698,1750921984.9640698,227931,242634,0.38381013899925165
152,1750921984.9640698,1750921984.97607,213388,225220,0.3709146490000421
153,1750921984.97607,1750921984.98807,214105,233919,0.36488835301133804
154,1750921984.98807,1750921985.00007,210274,222472,0.3536722070130054
155,1750921985.00007,1750921985.0120702,202977,215154,0.3395751630014274
156,1750921985.0120702,1750921985.0240703,201220,213339,0.33825289001106285
157,1750921985.0240703,1750921985.0360703,212907,227701,0.3693940380035201
158,1750921985.0360703,1750921985.0480704,215040,230895,0.35789807900437154
159,1750921985.0480704,1750921985.0600705,228762,242809,0.3712598299898673
160,1750921985.0600705,1750921985.0720706,192115,205915,0.33151653099048417
161,1750921985.0720706,1750921985.0840707,203317,221863,0.3445328699890524
162,1750921985.0840707,1750921985.0960708,209207,224519,0.364088428003015
163,1750921985.0960708,1750921985.1080709,190260,200000,0.32408186700195074
164,1750921985.1080709,1750921985.120071,194048,203946,0.3244185369985644
165,1750921985.120071,1750921985.132071,220552,234232,0.3638868490088498
166,1750921985.132071,1750921985.144071,203029,220126,0.34382226401066873
167,1750921985.144071,1750921985.1560712,208358,228051,0.36666851199697703
168,1750921985.1560712,1750921985.1680713,185146,203464,0.3211782280122861
169,1750921985.1680713,1750921985.1800714,184842,201736,0.31492655200418085
170,1750921985.1800714,1750921985.1920714,184251,199592,0.31794715199794155
171,1750921985.1920714,1750921985.2040715,189343,208199,0.35549748700577766
172,1750921985.2040715,1750921985.2160716,197259,217036,0.35583229499752633
173,1750921985.2160716,1750921985.2280717,201320,221464,0.34379569100565277
174,1750921985.2280717,1750921985.2400718,180481,197502,0.31755925199831836
175,1750921985.2400718,1750921985.2520719,174733,192583,0.30701933399541304
176,1750921985.2520719,1750921985.264072,178041,194559,0.31061227699683513
177,1750921985.264072,1750921985.276072,196253,213361,0.33113074900757056
178,1750921985.276072,1750921985.288072,227259,242319,0.37030652300745714
179,1750921985.288072,1750921985.3000722,207200,222458,0.35339810499863233
180,1750921985.3000722,1750921985.3120723,176732,192150,0.3118036720115924
181,1750921985.3120723,1750921985.3240724,183876,193137,0.3280908900051145
182,1750921985.3240724,1750921985.3360724,190001,203193,0.32561481499578804
183,1750921985.3360724,1750921985.3480725,195655,206900,0.32896630400500726
184,1750921985.3480725,1750921985.3600726,193618,202488,0.32766381499823183
185,1750921985.3600726,1750921985.3720727,204021,213729,0.34344743499241304
186,1750921985.3720727,1750921985.3840728,183884,192639,0.3145563079888234
187,1750921985.3840728,1750921985.3960729,187636,195849,0.32410062100098
188,1750921985.3960729,1750921985.408073,185749,194560,0.3210110759973759
189,1750921985.408073,1750921985.420073,194059,203614,0.33307302999310195
190,1750921985.420073,1750921985.432073,207755,222805,0.35180335499171633
191,1750921985.432073,1750921985.4440732,203342,223441,0.35308233900286723
192,1750921985.4440732,1750921985.4560733,223687,248849,0.39376536500640213
193,1750921985.4560733,1750921985.4680734,200555,212520,0.3489342120010406
194,1750921985.4680734,1750921985.4800735,191340,200093,0.32529461399826687
195,1750921985.4800735,1750921985.4920735,194282,201330,0.3318654089962365
196,1750921985.4920735,1750921985.5040736,190919,200889,0.32407385601254646
197,1750921985.5040736,1750921985.5160737,201412,212552,0.33942724800726864
198,1750921985.5160737,1750921985.5280738,241905,251005,0.395483480009716
199,1750921985.5280738,1750921985.5400739,215524,223644,0.3589833009900758
200,1750921985.5400739,1750921985.552074,200815,209391,0.341579746993375
201,1750921985.552074,1750921985.564074,198983,203850,0.3376810329937143
202,1750921985.564074,1750921985.5760741,207555,211136,0.34764220799843315
203,1750921985.5760741,1750921985.5880742,208747,214015,0.36371672300447244
204,1750921985.5880742,1750921985.6000743,206521,213564,0.35717070699320175
205,1750921985.6000743,1750921985.6120744,208985,217113,0.373424467004952
206,1750921985.6120744,1750921985.6240745,206701,215386,0.34738644400204066
207,1750921985.6240745,1750921985.6360745,214777,224258,0.3703699140023673
208,1750921985.6360745,1750921985.6480746,212192,222391,0.36103696200007107
209,1750921985.6480746,1750921985.6600747,221343,233056,0.37168944798759185
210,1750921985.6600747,1750921985.6720748,220011,231110,0.37442788599582855
211,1750921985.6720748,1750921985.6840749,219074,233233,0.37517365100211464
212,1750921985.6840749,1750921985.696075,214227,228959,0.37439214799087495
213,1750921985.696075,1750921985.708075,238351,255164,0.4040317180042621
214,1750921985.708075,1750921985.7200751,246861,258616,0.43256110200309195
215,1750921985.7200751,1750921985.7320752,232810,250816,0.4043260159960482
216,1750921985.7320752,1750921985.7440753,215623,230960,0.36791618799907155
217,1750921985.7440753,1750921985.7560754,220119,236669,0.37394010899879504
218,1750921985.7560754,1750921985.7680755,211721,241189,0.3844611230015289
219,1750921985.7680755,1750921985.7800756,209611,241233,0.36274253600277007
220,1750921985.7800756,1750921985.7920756,211196,233947,0.35800173500319943
221,1750921985.7920756,1750921985.8040757,207165,221189,0.34917234699241817
222,1750921985.8040757,1750921985.8160758,198149,212944,0.33494026599510107
223,1750921985.8160758,1750921985.828076,204482,219387,0.34038465000048745
224,1750921985.828076,1750921985.840076,220619,232984,0.36913939099758863
225,1750921985.840076,1750921985.852076,228417,242948,0.38040167299914174
226,1750921985.852076,1750921985.8640761,216365,231641,0.3627778700029012
227,1750921985.8640761,1750921985.8760762,208107,221068,0.35098838100384455
228,1750921985.8760762,1750921985.8880763,207135,221018,0.3489862610003911
229,1750921985.8880763,1750921985.9000764,212124,225047,0.35223023299477063
230,1750921985.9000764,1750921985.9120765,216634,232623,0.3601746659987839
231,1750921985.9120765,1750921985.9240766,219701,235789,0.38116879400331527
232,1750921985.9240766,1750921985.9360766,231848,252769,0.39127577900944743
233,1750921985.9360766,1750921985.9480767,252970,261284,0.40575577699928544
234,1750921985.9480767,1750921985.9600768,211176,234733,0.36573432000295725
235,1750921985.9600768,1750921985.972077,203967,223327,0.3441233600024134
236,1750921985.972077,1750921985.984077,202153,223319,0.34786429500672966
237,1750921985.984077,1750921985.996077,211779,234158,0.35339343499799725
238,1750921985.996077,1750921986.0080771,211938,231065,0.3522058759990614
239,1750921986.0080771,1750921986.0200772,226124,248711,0.3808330700121587
240,1750921986.0200772,1750921986.0320773,208110,227709,0.3535989759984659
241,1750921986.0320773,1750921986.0440774,210084,236046,0.36282350499823224
242,1750921986.0440774,1750921986.0560775,210468,235073,0.3669612090016017
243,1750921986.0560775,1750921986.0680776,212292,239099,0.357772338000359
244,1750921986.0680776,1750921986.0800776,201789,224709,0.34764291600731667
245,1750921986.0800776,1750921986.0920777,207870,234497,0.3528433380124625
246,1750921986.0920777,1750921986.1040778,200406,223486,0.34460019299876876
247,1750921986.1040778,1750921986.116078,202346,226065,0.3450537490134593
248,1750921986.116078,1750921986.128078,206993,230739,0.35211889899801463
249,1750921986.128078,1750921986.140078,205609,226698,0.3505301690020133
250,1750921986.140078,1750921986.1520782,198386,222508,0.3408108860021457
251,1750921986.1520782,1750921986.1640782,197110,217987,0.3564717920089606
252,1750921986.1640782,1750921986.1760783,199307,219534,0.3359314849949442
253,1750921986.1760783,1750921986.1880784,196746,212900,0.33181288100604434
254,1750921986.1880784,1750921986.2000785,195454,207875,0.33171923900954425
255,1750921986.2000785,1750921986.2120786,201172,212094,0.33673291601007804
256,1750921986.2120786,1750921986.2240787,206218,216240,0.34160598399466835
257,1750921986.2240787,1750921986.2360787,205215,217239,0.3414830950059695
258,1750921986.2360787,1750921986.2480788,211104,226912,0.3572971090034116
259,1750921986.2480788,1750921986.260079,211951,231821,0.3626356040040264
260,1750921986.260079,1750921986.272079,215078,233677,0.36866522699710913
261,1750921986.272079,1750921986.284079,226899,244327,0.38019256098777987
262,1750921986.284079,1750921986.2960792,236950,253351,0.386941871009185
263,1750921986.2960792,1750921986.3080792,228282,246170,0.4020862610050244
264,1750921986.3080792,1750921986.3200793,226147,245925,0.37779190999572165
265,1750921986.3200793,1750921986.3320794,223521,246446,0.37373484000272583
266,1750921986.3320794,1750921986.3440795,218750,238158,0.36229733598884195
267,1750921986.3440795,1750921986.3560796,218701,241419,0.3713883109885501
268,1750921986.3560796,1750921986.3680797,219130,249652,0.3729583679960342
269,1750921986.3680797,1750921986.3800797,230400,257661,0.3863360810064478
270,1750921986.3800797,1750921986.3920798,216940,235402,0.37167067801055964
271,1750921986.3920798,1750921986.40408,204674,232370,0.35166284900333267
272,1750921986.40408,1750921986.41608,206467,234521,0.367553742005839
273,1750921986.41608,1750921986.42808,216015,232350,0.36330097500467673
274,1750921986.42808,1750921986.4400802,218472,241353,0.368977788995835
275,1750921986.4400802,1750921986.4520802,225578,254731,0.38793174500460736
276,1750921986.4520802,1750921986.4640803,219050,242597,0.36585054399620276
277,1750921986.4640803,1750921986.4760804,206231,228722,0.3503978700027801
278,1750921986.4760804,1750921986.4880805,195469,228058,0.348129334000987
279,1750921986.4880805,1750921986.5000806,195937,222645,0.353461402002722
280,1750921986.5000806,1750921986.5120807,198721,219919,0.33639009098988026
281,1750921986.5120807,1750921986.5240808,191667,224329,0.3368031930003781
282,1750921986.5240808,1750921986.5360808,189754,226154,0.34943936399940867
283,1750921986.5360808,1750921986.548081,189097,211438,0.32630943501135334
284,1750921986.548081,1750921986.560081,178002,201088,0.3170577319979202
285,1750921986.560081,1750921986.572081,170939,202937,0.3109964479954215
286,1750921986.572081,1750921986.5840812,179817,212649,0.33323764700617176
287,1750921986.5840812,1750921986.5960813,176730,193364,0.3091219719935907
288,1750921986.5960813,1750921986.6080813,164366,191200,0.2990324080019491
289,1750921986.6080813,1750921986.6200814,160848,191698,0.2939431310078362
290,1750921986.6200814,1750921986.6320815,163587,187889,0.29495333800150547
291,1750921986.6320815,1750921986.6440816,171485,186190,0.2981405970058404
292,1750921986.6440816,1750921986.6560817,159633,184265,0.28853248900850303
293,1750921986.6560817,1750921986.6680818,156809,185113,0.28776787300012074
294,1750921986.6680818,1750921986.6800818,163818,183242,0.29455732701171655
295,1750921986.6800818,1750921986.692082,154102,159410,0.26961765899613965
296,1750921986.692082,1750921986.704082,157922,162207,0.27346321199729573
297,1750921986.704082,1750921986.716082,164874,170515,0.2999890050123213
298,1750921986.716082,1750921986.7280822,198218,203356,0.3263859790022252
299,1750921986.7280822,1750921986.7400823,187276,195872,0.3174786229938036
300,1750921986.7400823,1750921986.7520823,169243,180016,0.2971245340013411
301,1750921986.7520823,1750921986.7640824,161753,172751,0.2849239380011568
302,1750921986.7640824,1750921986.7760825,172446,180390,0.3007831300055841
303,1750921986.7760825,1750921986.7880826,185444,193383,0.31717866999679245
304,1750921986.7880826,1750921986.8000827,220296,226808,0.3635426440014271
305,1750921986.8000827,1750921986.8120828,215319,220129,0.3646996679890435
306,1750921986.8120828,1750921986.8240829,189379,194215,0.32917872299731243
307,1750921986.8240829,1750921986.836083,187715,195066,0.3316203980066348
308,1750921986.836083,1750921986.848083,189535,201488,0.3321424419991672
309,1750921986.848083,1750921986.860083,227092,243347,0.38139121398853604
310,1750921986.860083,1750921986.8720832,206986,224334,0.3929104530106997
311,1750921986.8720832,1750921986.8840833,181823,194123,0.3220080729952315
312,1750921986.8840833,1750921986.8960834,172479,185514,0.30806420899170917
313,1750921986.8960834,1750921986.9080834,173620,188371,0.31391114299185574
314,1750921986.9080834,1750921986.9200835,173405,186444,0.30627581701264717
315,1750921986.9200835,1750921986.9320836,187466,196789,0.32234489799884614
316,1750921986.9320836,1750921986.9440837,197482,207818,0.3410199520003516
317,1750921986.9440837,1750921986.9560838,180111,187175,0.3156561409996357
318,1750921986.9560838,1750921986.9680839,182615,190987,0.31718942400766537
319,1750921986.9680839,1750921986.980084,177308,186853,0.31106168299447745
320,1750921986.980084,1750921986.992084,181526,197410,0.319451328003197
321,1750921986.992084,1750921987.004084,183820,203861,0.32655634300317615
322,1750921987.004084,1750921987.0160842,182593,200654,0.3246343649952905
323,1750921987.0160842,1750921987.0280843,177926,187525,0.32358551300421823
324,1750921987.0280843,1750921987.0400844,185166,189103,0.315792250999948
325,1750921987.0400844,1750921987.0520844,190307,195312,0.3247514359973138
326,1750921987.0520844,1750921987.0640845,225352,232985,0.38065735300187953
327,1750921987.0640845,1750921987.0760846,206193,214648,0.3495031820057193
328,1750921987.0760846,1750921987.0880847,186746,197401,0.32798423001077026
329,1750921987.0880847,1750921987.1000848,185984,199324,0.32706157299980987
330,1750921987.1000848,1750921987.1120849,191412,204251,0.3353494620096171
331,1750921987.1120849,1750921987.124085,202962,212718,0.34877080099249724
332,1750921987.124085,1750921987.136085,237046,243026,0.39051661899429746
333,1750921987.136085,1750921987.148085,227246,234025,0.37713018999784254
334,1750921987.148085,1750921987.1600852,196092,208920,0.3436841969960369
335,1750921987.1600852,1750921987.1720853,199935,214676,0.34683210799994413
336,1750921987.1720853,1750921987.1840854,204840,217962,0.36415437499817926
337,1750921987.1840854,1750921987.1960855,214178,225786,0.37202758000057656
338,1750921987.1960855,1750921987.2080855,227596,240192,0.3866932629898656
339,1750921987.2080855,1750921987.2200856,227200,245838,0.39542718199663796
340,1750921987.2200856,1750921987.2320857,220131,238359,0.38766416799626313
341,1750921987.2320857,1750921987.2440858,206989,222584,0.36156743799801916
342,1750921987.2440858,1750921987.2560859,200932,213238,0.35597108499496244
343,1750921987.2560859,1750921987.268086,206388,218668,0.36545116201159544
344,1750921987.268086,1750921987.280086,205869,219502,0.36418580600002315
345,1750921987.280086,1750921987.2920861,211934,225872,0.3741814270033501
346,1750921987.2920861,1750921987.3040862,220391,235223,0.3929836220049765
347,1750921987.3040862,1750921987.3160863,228541,241342,0.39532686000165995
348,1750921987.3160863,1750921987.3280864,218269,232533,0.38169504899997264
349,1750921987.3280864,1750921987.3400865,205743,216869,0.3558754630066687
350,1750921987.3400865,1750921987.3520865,217409,229625,0.38465130899567157
351,1750921987.3520865,1750921987.3640866,215902,227715,0.3733852869918337
352,1750921987.3640866,1750921987.3760867,233562,242688,0.39484969500335865
353,1750921987.3760867,1750921987.3880868,247317,251816,0.40870967898808885
354,1750921987.3880868,1750921987.4000869,225697,242887,0.3880557420052355
355,1750921987.4000869,1750921987.412087,218276,235767,0.39283774798968807
356,1750921987.412087,1750921987.424087,212764,230484,0.3717908099933993
357,1750921987.424087,1750921987.4360871,213025,237069,0.3760732679947978
358,1750921987.4360871,1750921987.4480872,209657,236753,0.3690663679881254
359,1750921987.4480872,1750921987.4600873,210562,238454,0.3705365359928692
360,1750921987.4600873,1750921987.4720874,212423,240000,0.37581391299318057
361,1750921987.4720874,1750921987.4840875,196873,223298,0.38329465899732895
362,1750921987.4840875,1750921987.4960876,181868,202786,0.331851994007593
363,1750921987.4960876,1750921987.5080876,178039,197043,0.32629668699519243
364,1750921987.5080876,1750921987.5200877,177796,195008,0.31830083500244655
365,1750921987.5200877,1750921987.5320878,188245,202395,0.3294699789985316
366,1750921987.5320878,1750921987.544088,197674,210796,0.3425829710031394
367,1750921987.544088,1750921987.556088,185029,197589,0.3291359520080732
368,1750921987.556088,1750921987.568088,175576,192423,0.3133100779959932
369,1750921987.568088,1750921987.5800881,201569,216237,0.35702550699352287
370,1750921987.5800881,1750921987.5920882,190592,207269,0.3494726529897889
371,1750921987.5920882,1750921987.6040883,243172,250315,0.39262674099882133
372,1750921987.6040883,1750921987.6160884,226593,234937,0.3807282780035166
373,1750921987.6160884,1750921987.6280885,174914,187896,0.3169332110119285
374,1750921987.6280885,1750921987.6400886,170765,182886,0.3056254929979332
375,1750921987.6400886,1750921987.6520886,170805,180684,0.3028851690032752
376,1750921987.6520886,1750921987.6640887,185789,199235,0.33810852500027977
377,1750921987.6640887,1750921987.6760888,191015,202619,0.3311325289978413
378,1750921987.6760888,1750921987.688089,175484,185254,0.30801700199663173
379,1750921987.688089,1750921987.700089,158541,171735,0.2885256429872243
380,1750921987.700089,1750921987.712089,157387,174728,0.28705178599921055
381,1750921987.712089,1750921987.7240891,154579,169400,0.28196939500048757
382,1750921987.7240891,1750921987.7360892,168019,177695,0.2976476019975962
383,1750921987.7360892,1750921987.7480893,183572,191479,0.329732326004887
384,1750921987.7480893,1750921987.7600894,165870,172532,0.2913027540053008
385,1750921987.7600894,1750921987.7720895,147209,158730,0.2709297280089231
386,1750921987.7720895,1750921987.7840896,141493,149305,0.2582917580002686
387,1750921987.7840896,1750921987.7960896,157831,161637,0.2772318079951219
388,1750921987.7960896,1750921987.8080897,155492,162441,0.27673045799019746
389,1750921987.8080897,1750921987.8200898,139111,145334,0.2687034160044277
390,1750921987.8200898,1750921987.83209,139621,145084,0.2544892290025018
391,1750921987.83209,1750921987.84409,133402,137766,0.24583223900117446
392,1750921987.84409,1750921987.85609,135684,136873,0.24747572399792261
393,1750921987.85609,1750921987.8680902,143340,143942,0.2620575920009287
394,1750921987.8680902,1750921987.8800902,135159,134899,0.24222376399848145
395,1750921987.8800902,1750921987.8920903,134490,135688,0.24382960599905346
396,1750921987.8920903,1750921987.9040904,125541,126312,0.23719816299853846
397,1750921987.9040904,1750921987.9160905,130123,131339,0.23514217100455426
398,1750921987.9160905,1750921987.9280906,154891,158710,0.30406186600157525
399,1750921987.9280906,1750921987.9400907,165502,167486,0.28904145100386813
400,1750921987.9400907,1750921987.9520907,136841,140884,0.25379726800019853
401,1750921987.9520907,1750921987.9640908,124833,128831,0.23621646099491045
402,1750921987.9640908,1750921987.976091,126684,131078,0.23833896199357696
